symbol,threshold,hold_days,count,win_rate,avg_profit,max_profit,max_loss
SOLUSDT,5.0,1,176,51.70454545454546,0.43591346622273347,25.426136363636363,-20.452129147781328
SOLUSDT,5.0,3,176,49.43181818181818,0.23581225094832936,29.800987797791983,-40.378122889939235
SOLUSDT,5.0,5,175,50.28571428571429,0.7742032801523971,38.69294605809127,-50.77650236326806
SOLUSDT,5.0,7,174,54.02298850574713,1.1354431649159782,44.06028368794327,-52.73463875759622
SOLUSDT,5.0,14,173,53.179190751445084,2.958209132966236,109.04255319148936,-60.060769750168795
SOLUSDT,5.2,1,109,52.293577981651374,0.12341835927490082,18.52836879432624,-20.452129147781328
SOLUSDT,5.2,3,109,49.54128440366973,-0.03234036550739455,27.25638783639367,-40.378122889939235
SOLUSDT,5.2,5,109,49.54128440366973,0.13241074895734595,38.69294605809127,-50.77650236326806
SOLUSDT,5.2,7,108,47.22222222222222,1.298106517197516,44.06028368794327,-52.73463875759622
SOLUSDT,5.2,14,107,53.271028037383175,4.4704754422466,109.04255319148936,-60.060769750168795
SOLUSDT,5.5,1,49,48.97959183673469,-0.7533340358683849,9.811896288764615,-20.452129147781328
SOLUSDT,5.5,3,49,48.97959183673469,-1.1009627548194834,13.939393939393929,-18.14671814671815
SOLUSDT,5.5,5,49,42.857142857142854,0.4092528593062118,38.69294605809127,-22.002126349952448
SOLUSDT,5.5,7,48,43.75,2.7907790259700724,39.31535269709542,-29.209333557159646
SOLUSDT,5.5,14,48,52.083333333333336,5.048516116263515,84.74747474747473,-29.42196855240334
SOLUSDT,5.8,1,22,54.54545454545454,-1.6629011784761323,5.151661049590758,-20.452129147781328
SOLUSDT,5.8,3,22,45.45454545454545,-2.1577248719700224,12.272977435332947,-18.14671814671815
SOLUSDT,5.8,5,22,36.36363636363637,-3.242456093591036,12.903225806451612,-22.002126349952448
SOLUSDT,5.8,7,22,40.909090909090914,1.0505787326387752,26.43235435724604,-29.209333557159646
SOLUSDT,5.8,14,22,50.0,2.139566918643393,46.07754733994589,-29.42196855240334
SOLUSDT,6.0,1,13,46.15384615384615,-1.7940675453083157,5.151661049590758,-11.992786293958522
SOLUSDT,6.0,3,13,53.84615384615385,-1.3300759873710253,12.272977435332947,-14.840989399293283
SOLUSDT,6.0,5,13,38.46153846153847,-1.9579514023450995,12.903225806451612,-11.92579505300353
SOLUSDT,6.0,7,13,46.15384615384615,5.617864284026116,26.43235435724604,-8.509101415775788
SOLUSDT,6.0,14,13,61.53846153846154,7.961049921080209,46.07754733994589,-17.91658960606621
SOLUSDT,6.2,1,6,33.33333333333333,-3.433698003133817,2.0202846392933083,-11.992786293958522
SOLUSDT,6.2,3,6,50.0,-3.926057269549389,12.272977435332947,-14.840989399293283
SOLUSDT,6.2,5,6,33.33333333333333,-3.6022655451613823,5.8888277380297005,-11.92579505300353
SOLUSDT,6.2,7,6,50.0,6.192977889103318,20.559062218214603,-8.509101415775788
SOLUSDT,6.2,14,6,66.66666666666666,17.00510660394411,46.07754733994589,-8.766942148760325
DOGEUSDT,5.0,1,192,54.6875,0.6987445805158496,18.073130968092535,-16.789937737662445
DOGEUSDT,5.0,3,192,50.0,0.6991295502069614,20.321298443193115,-18.004077094143813
DOGEUSDT,5.0,5,192,43.22916666666667,0.4593739926898137,38.90361046704206,-24.732548483220167
DOGEUSDT,5.0,7,191,47.12041884816754,0.683137760980047,94.98178204703544,-29.7605616146421
DOGEUSDT,5.0,14,191,43.97905759162304,0.45212730297466114,90.07949652202714,-30.34856258652984
DOGEUSDT,5.2,1,111,54.054054054054056,0.5545328198522276,18.073130968092535,-16.789937737662445
DOGEUSDT,5.2,3,111,49.549549549549546,0.09769496915454141,18.717490878037413,-18.004077094143813
DOGEUSDT,5.2,5,111,42.34234234234234,-0.382982542134955,37.03128639080816,-24.732548483220167
DOGEUSDT,5.2,7,110,49.09090909090909,0.17966767206443993,41.52627901560436,-29.7605616146421
DOGEUSDT,5.2,14,110,46.36363636363636,0.5845276533608996,41.66601971896591,-29.72713217166019
DOGEUSDT,5.5,1,42,45.23809523809524,-0.4323338807892784,8.277373493298864,-16.789937737662445
DOGEUSDT,5.5,3,42,50.0,0.20385024752654698,16.67275434800933,-18.004077094143813
DOGEUSDT,5.5,5,42,45.23809523809524,-0.2947524670367708,21.21433203631647,-24.732548483220167
DOGEUSDT,5.5,7,42,52.38095238095239,-0.3073046549486258,23.461914062500007,-29.7605616146421
DOGEUSDT,5.5,14,42,45.23809523809524,0.603717242640512,24.607670164360677,-29.72713217166019
DOGEUSDT,5.8,1,13,46.15384615384615,-1.1868139592345028,4.207956340657765,-16.789937737662445
DOGEUSDT,5.8,3,13,46.15384615384615,-1.955974362100483,8.0785680342151,-18.004077094143813
DOGEUSDT,5.8,5,13,46.15384615384615,-2.2964455896812406,14.050097438091166,-17.078266683381386
DOGEUSDT,5.8,7,13,46.15384615384615,-4.958639889217107,10.398638104695706,-29.7605616146421
DOGEUSDT,5.8,14,13,38.46153846153847,-1.8876625790717663,23.22264527807254,-29.72713217166019
