[2026-03-30 16:41:13,241] INFO     src.core.engine -   DOGEUSDT: 0.0936 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,020] INFO     src.core.engine - 🔍 开始扫描 [16:41:16] | 周期:15m
[2026-03-30 16:41:16,221] INFO     src.core.analyzer - BTCUSDT 评分: 4.2/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:41:16,221] INFO     src.core.engine -   BTCUSDT: 67789.9900 | 评分:4.2/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,438] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:41:16,438] INFO     src.core.engine -   ETHUSDT: 2066.8900 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,653] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:41:16,653] INFO     src.core.engine -   SOLUSDT: 84.6800 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,850] INFO     src.core.analyzer - DOGEUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:41:16,851] INFO     src.core.engine -   DOGEUSDT: 0.0936 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:33,016] INFO     src.core.engine - 🔍 开始扫描 [16:41:33] | 周期:15m
[2026-03-30 16:41:33,215] INFO     src.core.analyzer - BTCUSDT 评分: 4.6/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:41:33,215] INFO     src.core.engine -   BTCUSDT: 67768.4800 | 评分:4.6/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:41:33,423] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:41:33,423] INFO     src.core.engine -   ETHUSDT: 2066.4300 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:33,619] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:41:33,620] INFO     src.core.engine -   SOLUSDT: 84.6200 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:33,816] INFO     src.core.analyzer - DOGEUSDT 评分: 2.7/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:41:33,817] INFO     src.core.engine -   DOGEUSDT: 0.0936 | 评分:2.7/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:42:33,865] INFO     src.core.engine - 🔍 开始扫描 [16:42:33] | 周期:15m
[2026-03-30 16:42:34,366] INFO     src.core.analyzer - BTCUSDT 评分: 4.6/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:42:34,367] INFO     src.core.engine -   BTCUSDT: 67734.8100 | 评分:4.6/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:42:34,556] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:42:34,556] INFO     src.core.engine -   ETHUSDT: 2065.7000 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:42:34,757] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:42:34,758] INFO     src.core.engine -   SOLUSDT: 84.5900 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:42:34,953] INFO     src.core.analyzer - DOGEUSDT 评分: 2.7/9.0 信号:HOLD [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:42:34,954] INFO     src.core.engine -   DOGEUSDT: 0.0935 | 评分:2.7/9.0 | 信号:HOLD | [MACD:0.8 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:43:34,985] INFO     src.core.engine - 🔍 开始扫描 [16:43:34] | 周期:15m
[2026-03-30 16:43:35,469] INFO     src.core.analyzer - BTCUSDT 评分: 4.6/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:43:35,469] INFO     src.core.engine -   BTCUSDT: 67752.9900 | 评分:4.6/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:43:35,659] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:43:35,660] INFO     src.core.engine -   ETHUSDT: 2065.9400 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:43:35,865] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:43:35,865] INFO     src.core.engine -   SOLUSDT: 84.5700 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
